Cape Cod Hours  2015-2016,,
,,
Financial Year Summary,,
31/3/2016,10,vuejs trade/task completion
"$5,025.00 ",67,Total hours
,,
April,,
1/4/2016,4,vuejs iOS debug
7/4/2016,1,updates old whs
8/4/2016,1,old whs export
12/4/2016,3.5,clients/sites
13/4/2016,3,clients/users
14/4/2016,5,clients/sites
15/4/2016,4,sites/company
16/4/2016,5,sites/clients/company
17/4/2016,5.5,roles/permissions
18/4/2016,5,migration
19/4/2016,1,active login
20/4/2016,3.5,"ipad vuejs, sites"
21/4/2016,5,"permissions, migration"
23/4/2016,5,"planner tables, checkin/dashboard"
25/4/2016,10,"checkin, dashboard,sites, company parentOfs"
26/4/2016,5.5,checkin
28/4/2016,8,dash/sites/company/permissions
29/4/2016,2.5,redo single parent company
"$5,812.50 ",77.5,Total hours
,,
May,,
1/5/2016,3,checkin/attendence
2/5/2016,3,safety issues
3/5/2016,2,site actions
4/5/2016,14,site actions + tips vue'ed
5/5/2016,5.5,Site accidents
6/5/2016,4.5,Site accidents/ bugs
7/5/2016,5,"dashboard, generel styling"
8/5/2016,3,dashboard
9/5/2016,6.5,migrate data + bug fixes
10/5/2016,9,code clean + bug fixes
11/5/2016,2,demo prep
12/5/2016,8,CC office demo
13/5/2016,6,CC office demo
14/5/2016,1,Company leave
16/5/2016,1,Company leave
17/5/2016,4,datatables delete module
18/5/2016,1,roles/permissions
19/5/2016,2,roles/permissions
20/5/2016,4,roles/permissions
21/5/2016,2,roles/permissions
22/5/2016,2,roles/permissions
23/5/2016,1,roles/permissions
24/5/2016,2,roles/permissions
25/5/2016,5,roles/permissions
26/5/2016,3,roles/permissions
27/5/2016,2,roles/permissions
28/5/2016,5,attendance/compliance
30/5/2016,5,weekly planner
31/5/2016,4.5,site planner
"$8,700.00 ",116,Total hours
,,
June,,
1/6/2016,10.5,site planner
2/6/2016,2,site planner
3/6/2016,3.5,site planner
4/6/2016,9.5,site planner
6/6/2016,6,site planner
7/6/2016,5,site planner
8/6/2016,14,site planner
9/6/2016,4,site planner
10/6/2016,5,site planner
11/6/2016,6.5,site planner
12/6/2016,5.5,site planner
13/6/2016,9,site planner
14/6/2016,1,site planner
15/6/2016,13,site planner
16/6/2016,3,site planner
17/6/2016,2,site planner
19/6/2016,2,site planner
20/6/2016,2.5,weekly planner
21/6/2016,2.5,weekly planner
22/6/2016,7.5,weekly planner
30/6/2016,6,weekly planner
,,
"$9,000.00 ",120,Total hours
