Cape Cod Hours,,,"$10,575.00",
,,,,
Financial Year Summary,,,,
7/5/2015,12,job planner - move/split company strings,,
9/5/2015,5,"job planner - iPad drop downs, Jo 45mins, cell shading",,
12/5/2015,3,"job planner - move company, styling",,
17/5/2015,5,"job planner - shift company, clear company, jumpto #",,
19/5/2015,1,"job planner - bug fixes + styling, added 2nd trade",,
27/5/2015,4.5,"job attenance - start, dynamic sub fancybox",,
28/5/2015,2.5,job attendance - dynamic,,
31/5/2015,6,"job attendance - cleared daily updates, began attendance form",,
"$3,787.50",50.5,Total hours,,
,,,,
June,,,,
1/6/2015,3.5,job attendance - split from planners,,
2/6/2015,6,"job attendance - styling, today/before/after + splitting planners",,
3/6/2015,3,"splitting planner, job planner",,
4/6/2015,1,"jobplanner, attendance",,
5/6/2015,3.5,"special guest, copy reports from live",,
10/06/2015,11,"tradeplan nongen upcoming, start job + start carp move whole job across planner",,
11/06/2015,4.5,"tradeplan, jo chat 1hr, supers minor requests",,
17/06/2015,0.5,spoke with Jo,,
24/06/2015,6,"job planer refresh, whole company noncomply, special guest see all trade reports",,
25/06/2015,0.5,Jo chat,,
29/06/2015,1.5,"asbestos button, start jobs export",,
30/06/2015,2,"Start jobs export + email, Jo chat",,
"$3,225.00",43,Total hours,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
