Cape Cod Hours  2020-2021,,
,,
Financial Year Summary,,
31/1/2021,-35,Upgrade Prebilled Payback 
"$3,782.50 ",44.5,Total hours
$378.25 ,GST,
"$4,160.75 ",Total,
,,
Febuary,,
1/2/2021,3,Performance
9/2/2021,6.5,"Performance, tix"
10/2/2021,2,Reports
11/2/2021,4,"Reports, tix"
12/2/2021,6.5,Sites upgrade
16/2/2021,3,"Site, tix"
17/2/2021,4.5,Reports
18/2/2021,6,"Reports, tix"
19/2/2021,5,Tix
24/2/2021,2,Tix
25/2/2021,6.5,"Reports, tix"
26/2/2021,4.5,"Reports, tix"
"$4,547.50 ",53.5,Total hours
$454.75 ,GST,
"$5,002.25 ",Total,
,,
March,,
4/3/2021,6,"Maintenance, reports, tix"
5/3/2021,1,Tix
6/3/2021,4.5,Reports
10/3/2021,2,Maintenance 
11/3/2021,6,"Maintenance, reports"
12/3/2021,3.5,Reports
15/3/2021,6,"Maintenance, tix"
23/3/2021,4,"Reports, tix"
24/3/2021,3.5,Tix
25/3/2021,6,"Tix, permissions"
26/3/2021,3,Permissions
30/3/2021,9,Permissions
"$4,632.50 ",54.5,Total hours
$463.25 ,GST,
"$5,095.75 ",Total,
,,
April,,
13/4/2021,3,Permissions
14/4/2021,2,Reports
16/4/2021,2.5,Tix
20/4/2021,1,Tix
24/4/2021,1.5,Maintenance
26/4/2021,3,"Maintenance, permissions"
27/4/2021,2.5,Tix
28/4/2021,1,Tix
"$1,402.50 ",16.5,Total hours
$140.25 ,GST,
"$1,542.75 ",Total,
,,
May,,
4/5/2021,4,Asbestos
5/5/2021,5,Asbestos
6/5/2021,7.5,Asbestos
7/5/2021,3.5,Asbestos
10/5/2021,3,Asbestos
11/5/2021,3,"Reports, tix"
12/5/2021,5,Asbestos
13/5/2021,3,Asbestos
17/5/2021,3.5,Asbestos
18/5/2021,5,Asbestos
19/5/2021,3,Asbestos
20/5/2021,7,Project Supply
21/5/2021,3.5,Project Supply
24/5/2021,4,Project Supply
25/5/2021,4.5,Project Supply
26/5/2021,1.5,Tix
"$5,610.00 ",66,Total hours
$561.00 ,GST,
"$6,171.00 ",Total,
,,
June,,
1/6/2021,4,Project Supply
7/6/2021,1,Tix
8/6/2021,3,Tix
10/6/2021,3.5,"Reports, tix"
21/6/2021,2.5,Tix
22/6/2021,4,Tix
23/6/2021,4,Tix
24/6/2021,4,Tix
25/6/2021,2.5,Tix
29/6/2021,3.5,Reports
30/6/2021,1,Chat
"$2,805.00 ",33,Total hours
$280.50 ,GST,
"$3,085.50 ",Total,
