Cape Cod Hours  2020-2021,,
,,
Financial Year Summary,,
,415,Billed Hours
,0,Prebilled Hours Remaining (95hr 2019-20 ~ adjusted 83hr payrise)
"$35,275.00 ",415,Total Hours
,,
July,,
3/7/2020,5,"Maintenance, support tix"
8/7/2020,4.5,"Maintenance, support tix"
9/7/2020,2.5,Maintenance
13/7/2020,1,Support tix
23/7/2020,3,Privacy statement
28/7/2020,4.5,Maintenance
29/7/2020,4,Maintenance
30/7/2020,1.5,Maintenance
31/7/2020,5,Maintenance
31/7/2020,-31,Prebilled payback
$0.00 ,0,Total hours
$0.00 ,GST,
$0.00 ,Total,
,,
August,,
4/8/2020,6,Maintenance
9/8/2020,1,Maintenance
10/8/2020,1,Maintenance
11/8/2020,1,Maintenance
19/8/2020,2.5,Maintenance
27/8/2020,1.5,Maintenance
30/8/2020,-13,Prebilled payback
$0.00 ,0,Total hours
$0.00 ,GST,
$0.00 ,Total,
,,
September,,
1/9/2020,7,Maintenance
2/9/2020,4,Maintenance
9/9/2020,2,Maintenance
10/9/2020,2,Maintenance
15/9/2020,6,Maintenance
16/9/2020,1,Maintenance
18/9/2020,3.5,Maintenance
20/9/2020,2,Maintenance
22/9/2020,3,Maintenance
23/9/2020,4,Maintenance
24/9/2020,3,"Maintenance, support tix"
27/9/2020,5,"Maintenance, support tix"
30/9/2020,-19,Prebilled Payback
"$1,997.50 ",23.5,Total hours
$199.75 ,GST,
"$2,197.25 ",Total,
,,
October,,
1/10/2020,3.5,"Maintenance, support tix"
7/10/2020,3,Maintenance
8/10/2020,3,"Maintenance, support tix"
9/10/2020,1,Maintenance
16/10/2020,2.5,Support tix
20/10/2020,6,"Maintenance, support tix"
22/10/2020,4,Maintenance reports
24/10/2020,6,Inspection reports
27/10/2020,8.5,Inspection reports
28/10/2020,3,Inspection reports
29/10/2020,3,Inspection reports
30/10/2020,2.5,Inspection reports
"$3,910.00 ",46,Total hours
$391.00 ,GST,
"$4,301.00 ",Total,
,,
November,,
8/11/2020,11,Inspection reports
12/11/2020,4.5,"Inspection reports, support tix"
17/11/2020,1,Support tix
18/11/2020,1.5,Inspection reports
19/11/2020,4,Inspection reports
21/11/2020,1,Support tix
22/11/2020,2,Inspection reports
"$2,125.00 ",25,Total hours
$212.50 ,GST,
"$2,337.50 ",Total,
,,
December,,
1/12/2020,5,Support tix
3/12/2020,7.5,"Inspection report, white cards, support tix"
4/12/2020,2,Support tix
13/12/2020,2,Support tix
23/12/2020,1,Upgrade server
31/12/2020,35,Upgrade Pre Billed
"$4,462.50 ",52.5,Total hours
$446.25 ,GST,
"$4,908.75 ",Total,
,,
January,,
3/1/2021,1,Upgrade server
4/1/2021,7.5,Upgrade server
5/1/2021,11.5,Upgrade server
6/1/2021,7,Upgrade server
7/1/2021,9.5,Upgrade server
8/1/2021,5,Upgrade server
9/1/2021,5,Upgrade server
10/1/2021,2,Upgrade server
13/1/2021,3,Upgrade server
20/1/2021,6,"Support tix, reports"
21/1/2021,7,Reports
22/1/2021,6,Reports
23/1/2021,1,Support tix
27/1/2021,1.5,Support tix
28/1/2021,5,Performance
29/1/2021,1.5,Support tix
