Cape Cod Hours  2016-2017,,,,,
,,,,,
Financial Year Summary,,,,,
11/2/2017,4.5,trade planner debug,,,
12/2/2017,6.5,"compliance colour coding, resolving",,,
15/2/2017,5,onsite capecod  planner testing + upgrades meeting,,,
16/2/2017,4,move startjob,,,
17/2/2017,4,move startjob,,,
18/2/2017,4.5,startjob/planner,,,
23/2/2017,6.5,todo/toolbox,,,
28/2/2017,5.5,toolbox,,,
"$5,475.00",73,Total hours,,,
$547.50,GST,,,,
"$6,022.50",Total,,,,
,,,,,
March,,,,,
1/3/2017,7,toolbox,,,
2/3/2017,5,toolbox,,,
3/3/2017,3.5,toolbox,,,
8/3/2017,2.5,toolbox,,,
9/3/2017,4.5,toolbox,,,
11/3/2017,8,toolbox,,,
14/3/2017,3.5,wms/trade planner bugs,,,
16/3/2017,6,wms process steps,,,
17/3/2017,3,toolbox,,,
20/3/2017,1,toolbox,,,
21/3/2017,1.5,wms,,,
22/3/2017,3,wms/toolbox,,,
23/3/2017,1,toolbox,,,
24/3/2017,5.5,wms/toolbox,,,
25/3/2017,3.5,wms/toolbox,,,
27/3/2017,1,jo chat,,,
31/3/2017,3.5,gen support tickets,,,
,,,,,
"$4,725.00",63,Total hours,,,
$472.50,GST,,,,
"$5,197.50",Total,,,,
,,,,,
April,,,,,
5/4/2017,3.5,alert notify,,,
10/4/2017,2.5,alert notify,,,
12/4/2017,13,"alert notify, additional permissions, menus, code clean up",,,
13/4/2017,3,support tickets,,,
14/4/2017,4,alert notify,,,
15/4/2017,1,toolbox,,,
21/4/2017,3,support tickets,,,
30/4/2017,20,adjusted hours buffer,,,
,,,,,
"$3,750.00",50,Total hours,,,
$375.00,GST,,,,
"$4,125.00",Total,,,,
,,,,,
May,,,,,
9/5/2017,0.5,support tickets,,,
12/5/2017,1,support tickets,,,
19/5/2017,2,jo chat + new toolbox,,,
20/5/2017,5,new toolbox,,,
$637.50,8.5,Total hours,,,
$63.75,GST,,,,
$701.25,Total,,,,
,,,,,
June,,,,,
17/6/2017,1.5,toolbox,,,
18/6/2017,4,toolbox,,,
23/6/2017,3,support tickets,,,
26/6/2017,2.5,support tickets,,,
28/6/2017,4,"support tickets, toolbox",,,
29/06/2017,6.5,"support tickets, alert notify",,,
30/06/2017,6,adjusted hours buffer,,,
"$2,062.50",27.5,Total hours,,,
$206.25,GST,,,,
"$2,268.75",Total,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
