Cape Cod Hours  2017-2018,,
,,
Financial Year Summary,,
,1021,Billed Hours
,,Discounted Hours
"$76,575.00 ",1021,Total Hours
,,
July,,
7/7/2017,5,support tickets
8/7/2017,1,support tickets
10/7/2017,1.5,todo
11/7/2017,3.5,todo
12/7/2017,14,quality assurance
22/7/2017,13,quality assurance
23/7/2017,6.5,quality assurance
27/7/2017,8,office meeting
29/7/2017,4,"support tickets, patches"
30/7/2017,4,quality assurance
"$4,537.50 ",60.5,Total hours
$453.75 ,GST,
"$4,991.25 ",Total,
,,
August,,
1/8/2017,4,quality assurance
2/8/2017,5.5,quality assurance
3/8/2017,4.5,"quality assurance, todo"
8/8/2017,1,support tickets
9/8/2017,1,support tickets
10/8/2017,6,quality assurance
12/8/2017,5,quality assurance
13/8/2017,3.5,quality assurance
14/8/2017,0.5,quality assurance
15/8/2017,1.5,quality assurance
16/8/2017,10,quality assurance
17/8/2017,6.5,"quality assurance, toolbox"
23/8/2017,8,"jobstart export, server details, support tickets, General Docs"
24/8/2017,3,general docs
28/8/2017,2,general docs
30/8/2017,4.5,"general docs, long term dev upgrade planning"
31/8/2017,4,"general docs, code cleanup"
"$5,287.50 ",70.5,Total hours
$528.75 ,GST,
"$5,816.25 ",Total,
,,
September,,
2/9/2017,4,"general docs, code cleanup"
3/9/2017,1.5,"general docs, code cleanup"
13/9/2017,11,"swms template, asbestos, support tickets"
14/9/2017,6.5,"asbestos, support tickets"
15/9/2017,1.5,asbestos
16/9/2017,9,asbestos
17/9/2017,2.5,prac export
20/9/2017,7,company docss
21/9/2017,4.5,"company docss, support tickets"
22/9/2017,2,company docss
23/9/2017,4,"company docss, support tickets, asbestos, hazards"
27/9/2017,7.5,hazards
28/9/2017,9.5,hazards
30/9/2017,3.5,hazards
"$5,550.00 ",74,Total hours
$555.00 ,GST,
"$6,105.00 ",Total,
,,
October,,
1/10/2017,2,hazards go live
2/10/2017,3.5,hazards
5/10/2017,1.5,support tickets
11/10/2017,1,support tickets
12/10/2017,7,"support tickets, attendance export"
14/10/2017,5.5,qa
18/10/2017,8,"support tickets, hazards"
19/10/2017,8,"support tickets, hazards"
20/10/2017,5,company
21/10/2017,5,company
22/10/2017,9,company
23/10/2017,7.5,company
25/10/2017,3.5,company
"$4,987.50 ",66.5,Total hours
$498.75 ,GST,
"$5,486.25 ",Total,
,,
November,,
1/11/2017,2,company
2/11/2017,3.5,company
4/11/2017,8,"company, phase 1 go live"
8/11/2017,8,company
9/11/2017,9,company
10/11/2017,0.5,company
12/11/2017,7,"company, phase 2 go live"
15/11/2017,5,"company, support tickets"
16/11/2017,6.5,"company, support tickets"
17/11/2017,0.5,support ticket
18/11/2017,2,subscription
19/11/2017,3,"company, support tickets"
21/11/2017,3,"company, support tickets"
22/11/2017,10,subscription
23/11/2017,5,"subscription, suppport tickets"
26/11/2017,2.5,subscription
27/11/2017,3.5,"subscription, company"
28/11/2017,10,company
29/11/2017,9,"company, support tickets"
30/11/2017,4.5,"company, support tickets"
"$7,687.50 ",102.5,Total hours
$768.75 ,GST,
"$8,456.25 ",Total,
,,
December,,
2/12/2017,4,company
3/12/2017,9,company
4/12/2017,6,"company, support tickets"
5/12/2017,10,subscription
6/12/2017,4,subscription
8/12/2017,2,subscription
9/12/2017,3.5,subscription
10/12/2017,4,subscription
11/12/2017,12,subscription
12/12/2017,4,subscription
13/12/2017,10,subscription
14/12/2017,5.5,subscription
15/12/2017,5,subscription
16/12/2017,9.5,subscription
17/12/2017,1.5,subscription
18/12/2017,3,subscription
19/12/2017,5,subscription
20/12/2017,10.5,subscription
21/12/2017,5,subscription
22/12/2017,2.5,subscription
23/12/2017,11.5,"subscription, php7"
,,
"$9,562.50 ",127.5,Total hours
$956.25 ,GST,
"$10,518.75 ",Total,
,,
January,,
3/1/2018,10,laravel 5.5 upgrade
4/1/2018,11,laravel 5.5 upgrade
5/1/2018,2.5,laravel 5.5 upgrade
6/1/2018,8.5,laravel 5.5 upgrade
7/1/2018,8.5,laravel 5.5 upgrade
8/1/2018,11.5,subscription
9/1/2018,7,subscription
10/1/2018,11.5,subscription
11/1/2018,11,subscription
15/1/2018,1,support tickets
16/1/2018,4,support tickets
17/1/2018,1,support tickets
22/1/2018,2,support tickets
23/1/2018,12.5,subscription
24/1/2018,4,subscription
25/1/2018,2.5,subscription
27/1/2018,2,subscription
29/1/2018,1.5,"subscription, support tickets"
30/1/2018,9.5,"subscription, support tickets"
31/1/2018,2,"subscription, support tickets"
"$9,262.50 ",123.5,Total hours
$926.25 ,GST,
"$10,188.75 ",Total,
,,
Febuary,,
1/2/2018,1.5,support tix
2/2/2018,2,subscription
3/2/2018,10,"subscription, support tix"
4/2/2018,1,support tix
5/2/2018,1,support
7/2/2018,1,support
8/2/2018,8,company profile
9/2/2018,1,support
11/2/2018,1,company profile
13/2/2018,10.5,company profile
16/2/2018,2,"company profile, permissions"
17/2/2018,3.5,company profile
18/2/2018,7,company profile
21/2/2018,4,office visit
22/2/2018,8,office meetings
28/2/2018,12,permissions
"$5,512.50 ",73.5,Total hours
$551.25 ,GST,
"$6,063.75 ",Total,
,,
March,,
1/3/2018,6,permissions
6/3/2018,1,support tix
7/3/2018,1,support tix
13/3/2018,9.5,"company profile, permissions"
14/3/2018,12.5,"company profile, permissions"
15/3/2018,12.5,"company profile, permissions"
16/3/2018,7.5,"company profile, permissions"
17/3/2018,3,"company profile, permissions, Jo chat"
18/3/2018,1,Jo chat
19/3/2018,5,"company profile, permissions"
22/3/2018,8,"company profile, permissions"
23/3/2018,7,"company profile, permissions"
27/3/2018,7,"jo fixes, company module"
28/3/2018,7,"jo fixes, company module"
29/3/2018,8,"jo fixes, company module"
30/3/2018,2,company module
31/3/2018,2.5,company module
"$7,537.50 ",100.5,Total hours
$753.75 ,GST,
"$8,291.25 ",Total,
,,
April,,
2/4/2018,4.5,company GoLive
3/4/2018,1,support tix
5/4/2018,2,support tix
9/4/2018,5.5,"notifications, emails"
10/4/2018,5,"company leave, whs"
11/4/2018,3,support tix
12/4/2018,9.5,"job Q, company pdf"
13/4/2018,0.5,jo chat
15/4/2018,4.5,company pdf
16/4/2018,1.5,support tix
18/4/2018,3,support tix
20/4/2018,4.5,company pdf
21/4/2018,6,SSL
22/4/2018,1.5,support tix
24/4/2018,7,site sign in
26/4/2018,1.5,site sign in
30/4/2018,1,site sign in
"$4,612.50 ",61.5,Total hours
$461.25 ,GST,
"$5,073.75 ",Total,
,,
May,,
1/5/2018,1,support tix
2/5/2018,2,company pdf
3/5/2018,8,company pdf
6/5/2018,1,company pdf
8/5/2018,2,company pdf
9/5/2018,9,company pdf
10/5/2018,5.5,"company pdf, support tix"
16/5/2018,5,company pdf
17/5/2018,6.5,"company pdf, support tix"
18/5/2018,1.5,company pdf
22/5/2018,3.5,"subscription, support tix"
23/5/2018,4,subscription 
24/5/2018,4,subscription 
25/5/2018,4,subscription 
29/5/2018,3,subscription 
30/5/2018,5.5,"subscription, support tix"
31/5/2018,4,subscription 
"$5,212.50 ",69.5,Total hours
$521.25 ,GST,
"$5,733.75 ",Total,
,,
June,,
2/6/2018,7,"subscription, attendance report"
6/6/2018,3,subscription
7/6/2018,7,subscription
9/6/2018,1.5,subscription
11/6/2018,4.5,subscription
13/6/2018,6,subscription
18/6/2018,11.5,user profile
20/6/2018,10.5,user profile
21/6/2018,4.5,user profile
